slug,created_date,created_time,folder,image,is_private,raw_url,repl_url
SVG-1,2024/8/12,00:21:47,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-1.svg,https://replit.com/@p3artschool/SVG-1
SVG-3,2024/8/12,00:21:47,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-3.svg,https://replit.com/@p3artschool/SVG-3
SVG-4,2024/8/12,00:21:47,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-4.svg,https://replit.com/@p3artschool/SVG-4
SVG-5-circle,2024/8/12,00:21:47,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-5-circle.svg,https://replit.com/@p3artschool/SVG-5-circle
SVG-6-viewbox,2024/8/12,00:21:47,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-6-viewbox.svg,https://replit.com/@p3artschool/SVG-6-viewbox
SVG-7-vector-effect,2024/8/9,11:39:05,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-7-vector-effect.svg,https://replit.com/@p3artschool/SVG-7-vector-effect
SVG-8-arc,2024/8/12,00:21:47,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-8-arc.svg,https://replit.com/@p3artschool/SVG-8-arc
SVG-cut-equilateral-triangle-2,2025/3/6,08:53:53,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-cut-equilateral-triangle-2.svg,https://replit.com/@p3artschool/SVG-cut-equilateral-triangle-2
SVG-cut-equilateral-triangle-3,2025/3/6,21:28:38,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-cut-equilateral-triangle-3.svg,https://replit.com/@p3artschool/SVG-cut-equilateral-triangle-3
SVG-cut-equilateral-triangle-4,2025/3/6,22:46:11,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-cut-equilateral-triangle-4.svg,https://replit.com/@p3artschool/SVG-cut-equilateral-triangle-4
SVG-cut-equilateral-triangle-5-cm,2025/3/7,16:00:02,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-cut-equilateral-triangle-5-cm.svg,https://replit.com/@p3artschool/SVG-cut-equilateral-triangle-5-cm
SVG-cut-equilateral-triangle-6-cm,2025/3/10,04:59:57,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-cut-equilateral-triangle-6-cm.svg,https://replit.com/@p3artschool/SVG-cut-equilateral-triangle-6-cm
SVG-half-circle-1,2024/8/12,07:57:10,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-half-circle-1.cpp,https://replit.com/@p3artschool/SVG-half-circle-1
SVG-half-circle-2,2024/8/12,08:02:55,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-half-circle-2.svg,https://replit.com/@p3artschool/SVG-half-circle-2
SVG-half-circle-3,2024/8/12,08:09:28,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-half-circle-3.svg,https://replit.com/@p3artschool/SVG-half-circle-3
SVG-half-circle-4,2024/8/12,08:20:06,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-half-circle-4.svg,https://replit.com/@p3artschool/SVG-half-circle-4
SVG-half-circle-5A,2024/8/12,21:29:43,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-half-circle-5A.svg,https://replit.com/@p3artschool/SVG-half-circle-5A
SVG-half-circle-5B,2024/8/12,22:57:16,01-nix-cpp-SVG,,F,https://raw.githubusercontent.com/p3art/repl-images-1/main/file-for-notion/SVG-half-circle-5B.svg,https://replit.com/@p3artschool/SVG-half-circle-5B
